Question Type,Question,Chunking Method,Retrieval Method,k,Answer,Retrieved Sources
Factual,"What was the main topic of the debate on July 3rd, 2023 in the US Congress?",Recursive,Hybrid,10,I cannot answer this based on the provided context.,"['debates2025-07-10.txt', 'debates2024-12-12.txt', 'debates2025-06-19.txt', 'debates2024-01-18.txt', 'debates2023-11-09.txt', 'debates2024-07-18.txt', 'debates2023-12-13.txt', 'debates2024-11-28.txt', 'debates2024-12-12.txt', 'debates2025-06-12.txt']"
Factual,Who spoke about the 'District of Columbia National Guard Commanding General Residency Act'?,Fixed,BM25,3,"The Honorable Eleanor Holmes Norton spoke about the ""District of Columbia National Guard Commanding General Residency Act.""","['2025-07-29.txt', '2023-07-03.txt', '2024-07-15.txt']"
Factual,Who spoke about the 'District of Columbia National Guard Commanding General Residency Act'?,Fixed,BM25,5,The 'District of Columbia National Guard Commanding General Residency Act' was spoken about by Hon. Eleanor Holmes Norton (Ms. Norton).,"['2025-07-29.txt', '2023-07-03.txt', '2024-07-15.txt', '2025-03-31.txt', '2025-08-12.txt']"
Factual,Who spoke about the 'District of Columbia National Guard Commanding General Residency Act'?,Fixed,BM25,10,Eleanor Holmes Norton spoke about the 'District of Columbia National Guard Commanding General Residency Act'.,"['2025-07-29.txt', '2023-07-03.txt', '2024-07-15.txt', '2025-03-31.txt', '2025-08-12.txt', '2023-11-13.txt', '2023-10-02.txt', '2024-06-26.txt', '2023-07-18.txt', '2025-09-26.txt']"
Factual,Who spoke about the 'District of Columbia National Guard Commanding General Residency Act'?,Recursive,BM25,3,"The Honorable Eleanor Holmes Norton spoke about the ""District of Columbia National Guard Commanding General Residency Act.""","['2025-07-29.txt', '2023-07-03.txt', '2025-07-29.txt']"
Factual,Who spoke about the 'District of Columbia National Guard Commanding General Residency Act'?,Recursive,BM25,5,Hon. Eleanor Holmes Norton spoke about the 'District of Columbia National Guard Commanding General Residency Act'.,"['2025-07-29.txt', '2023-07-03.txt', '2025-07-29.txt', '2023-07-03.txt', '2024-07-15.txt']"
Factual,Who spoke about the 'District of Columbia National Guard Commanding General Residency Act'?,Recursive,BM25,10,"Hon. Eleanor Holmes Norton (Ms. Norton) spoke about the ""District of Columbia National Guard Commanding General Residency Act.""","['2025-07-29.txt', '2023-07-03.txt', '2025-07-29.txt', '2023-07-03.txt', '2024-07-15.txt', '2025-03-31.txt', '2025-08-12.txt', '2023-11-13.txt', '2023-10-02.txt', '2025-09-26.txt']"
Factual,Who spoke about the 'District of Columbia National Guard Commanding General Residency Act'?,Fixed,Hybrid,3,The person who spoke about the 'District of Columbia National Guard Commanding General Residency Act' is Hon. Eleanor Holmes Norton.,"['2025-07-29.txt', '2023-07-03.txt', '2024-07-15.txt']"
Factual,Who spoke about the 'District of Columbia National Guard Commanding General Residency Act'?,Fixed,Hybrid,5,"Error generating answer: Error calling model 'gemini-flash-latest' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 18.412133349s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '18s'}]}}","['2025-07-29.txt', '2023-07-03.txt', '2024-07-15.txt', '2025-08-12.txt', '2023-10-02.txt']"
Factual,Who spoke about the 'District of Columbia National Guard Commanding General Residency Act'?,Fixed,Hybrid,10,The 'District of Columbia National Guard Commanding General Residency Act' was spoken about by Hon. Eleanor Holmes Norton.,"['2025-07-29.txt', '2023-07-03.txt', '2024-07-15.txt', '2025-08-12.txt', '2023-10-02.txt', '2023-11-13.txt', '2025-08-26.txt', '2023-07-17.txt', '2025-03-31.txt', '2023-07-24.txt']"
Factual,Who spoke about the 'District of Columbia National Guard Commanding General Residency Act'?,Recursive,Hybrid,3,The speaker who introduced the 'District of Columbia National Guard Commanding General Residency Act' was Hon. Eleanor Holmes Norton (Ms. Norton).,"['2025-07-29.txt', '2023-07-03.txt', '2025-07-29.txt']"
Factual,Who spoke about the 'District of Columbia National Guard Commanding General Residency Act'?,Recursive,Hybrid,5,Hon. Eleanor Holmes Norton spoke about the 'District of Columbia National Guard Commanding General Residency Act.',"['2025-07-29.txt', '2023-07-03.txt', '2025-07-29.txt', '2024-07-15.txt', '2023-07-03.txt']"
Factual,Who spoke about the 'District of Columbia National Guard Commanding General Residency Act'?,Recursive,Hybrid,10,"Error generating answer: Error calling model 'gemini-flash-latest' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 18.356485516s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '18s'}]}}","['2025-07-29.txt', '2023-07-03.txt', '2025-07-29.txt', '2024-07-15.txt', '2023-07-03.txt', '2025-08-12.txt', '2023-10-02.txt', '2023-11-13.txt', '2025-08-26.txt', '2025-03-31.txt']"
Factual,What concerns were raised about Thames Water in the UK debates?,Fixed,BM25,3,"Error generating answer: Error calling model 'gemini-flash-latest' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 42.807884009s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '42s'}]}}","['debates2023-06-28.txt', 'debates2023-06-28.txt', 'debates2025-03-20.txt']"
Factual,What concerns were raised about Thames Water in the UK debates?,Fixed,BM25,5,"Error generating answer: Error calling model 'gemini-flash-latest' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 7.361558222s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '7s'}]}}","['debates2023-06-28.txt', 'debates2023-06-28.txt', 'debates2025-03-20.txt', 'debates2025-06-03.txt', 'debates2023-06-28.txt']"
Factual,What concerns were raised about Thames Water in the UK debates?,Fixed,BM25,10,"Error generating answer: Error calling model 'gemini-flash-latest' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 32.293072109s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '32s'}]}}","['debates2023-06-28.txt', 'debates2023-06-28.txt', 'debates2025-03-20.txt', 'debates2025-06-03.txt', 'debates2023-06-28.txt', 'debates2024-03-14.txt', 'debates2025-06-26.txt', 'debates2025-06-03.txt', 'debates2025-03-20.txt', 'debates2025-06-03.txt']"
Factual,What concerns were raised about Thames Water in the UK debates?,Recursive,BM25,3,"Error generating answer: Error calling model 'gemini-flash-latest' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 57.439638456s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '57s'}]}}","['debates2023-06-28.txt', 'debates2025-06-26.txt', 'debates2023-06-28.txt']"
Factual,What concerns were raised about Thames Water in the UK debates?,Recursive,BM25,5,"Error generating answer: Error calling model 'gemini-flash-latest' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 22.77906877s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '22s'}]}}","['debates2023-06-28.txt', 'debates2025-06-26.txt', 'debates2023-06-28.txt', 'debates2024-11-05.txt', 'debates2025-03-20.txt']"
Factual,What concerns were raised about Thames Water in the UK debates?,Recursive,BM25,10,"Error generating answer: Error calling model 'gemini-flash-latest' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 47.757008103s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '47s'}]}}","['debates2023-06-28.txt', 'debates2025-06-26.txt', 'debates2023-06-28.txt', 'debates2024-11-05.txt', 'debates2025-03-20.txt', 'debates2025-06-19.txt', 'debates2025-06-03.txt', 'debates2023-06-28.txt', 'debates2025-06-03.txt', 'debates2023-06-28.txt']"
Factual,What concerns were raised about Thames Water in the UK debates?,Fixed,Hybrid,3,"Error generating answer: Error calling model 'gemini-flash-latest' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 13.777228243s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '13s'}]}}","['debates2025-06-03.txt', 'debates2023-06-28.txt', 'debates2023-06-28.txt']"
Factual,What concerns were raised about Thames Water in the UK debates?,Fixed,Hybrid,5,"Error generating answer: Error calling model 'gemini-flash-latest' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 39.484284969s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '39s'}]}}","['debates2025-06-03.txt', 'debates2023-06-28.txt', 'debates2023-06-28.txt', 'debates2023-06-28.txt', 'debates2024-03-14.txt']"
Factual,What concerns were raised about Thames Water in the UK debates?,Fixed,Hybrid,10,"Error generating answer: Error calling model 'gemini-flash-latest' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 3.38101922s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '3s'}]}}","['debates2025-06-03.txt', 'debates2023-06-28.txt', 'debates2023-06-28.txt', 'debates2023-06-28.txt', 'debates2024-03-14.txt', 'debates2025-09-04.txt', 'debates2025-06-03.txt', 'debates2023-07-06.txt', 'debates2025-06-03.txt', 'debates2025-06-19.txt']"
Factual,What concerns were raised about Thames Water in the UK debates?,Recursive,Hybrid,3,"Error generating answer: Error calling model 'gemini-flash-latest' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 28.253329235s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '28s'}]}}","['debates2025-06-03.txt', 'debates2025-06-19.txt', 'debates2023-06-28.txt']"
Factual,What concerns were raised about Thames Water in the UK debates?,Recursive,Hybrid,5,"Error generating answer: Error calling model 'gemini-flash-latest' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 53.339154916s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '53s'}]}}","['debates2025-06-03.txt', 'debates2025-06-19.txt', 'debates2023-06-28.txt', 'debates2025-03-20.txt', 'debates2023-06-28.txt']"
Factual,What concerns were raised about Thames Water in the UK debates?,Recursive,Hybrid,10,"Error generating answer: Error calling model 'gemini-flash-latest' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 18.594177572s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '18s'}]}}","['debates2025-06-03.txt', 'debates2025-06-19.txt', 'debates2023-06-28.txt', 'debates2025-03-20.txt', 'debates2023-06-28.txt', 'debates2023-06-28.txt', 'debates2025-06-03.txt', 'debates2025-06-03.txt', 'debates2025-06-03.txt', 'debates2025-09-04.txt']"
